Account,timestamp,daily_pnl,net_daily_pnl,trades_per_day,avg_trade_size,win_rate,long_ratio,total_fees,classification,activity_segment,volatility_segment_x,volatility_segment_y,volatility_segment
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,7.3108031900000165,54,933.2848148148149,0.037037037037037035,0.0,4.40687281,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,61212.960040670005,1802,6453.556398446171,0.3401775804661487,0.0,3297.2099173300003,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,-10028.847052,3810,772.3728871391077,0.32545931758530183,0.0,903.689727,Neutral,High Activity,Low Volatility,Low Volatility,Low Volatility
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,39167.97969393,1804,1376.8141407982262,0.32427937915742794,0.0,810.39821607,Greed,High Activity,Low Volatility,Low Volatility,Low Volatility
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,45074.8354816,5602,658.3625776508391,0.30739021777936454,0.0,1182.5227054,Fear,High Activity,Low Volatility,Low Volatility,Low Volatility
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,8538.18937428,724,2936.1985911602205,0.07596685082872928,0.0,157.16795172,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,98443.77309946,2080,3430.149134615385,0.3903846153846154,0.0,2058.64770854,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,48699.003347,4211,1636.15022559962,0.418665400142484,0.0,481.711535,Greed,High Activity,Low Volatility,Low Volatility,Low Volatility
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,38679.252386,9274,1157.8793541082598,0.32003450506793185,0.0,1635.555628,Fear,High Activity,Low Volatility,Low Volatility,Low Volatility
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,-14643.74974527,39,7877.326666666667,0.0,0.0,138.24399527,Neutral,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,67871.04668076,283,1684.2025795053005,0.5477031802120141,0.0,29.20086424,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,19429.249332,95,820.6771578947369,0.8842105263157894,0.0,22.493145000000002,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,20724.15093739,190,3387.3391578947367,0.5526315789473685,0.0,201.36228461,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,8563.834103,182,3072.9576923076925,0.2692307692307692,0.0,187.917346,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,51.355987,9,1862.9299999999998,0.2222222222222222,0.0,3.659253,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,21165.7301565536,525,8441.060742857142,0.3238095238095238,0.0,538.0863564464,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,-2627.995171,1043,11034.799511025887,0.2751677852348993,0.0,2783.498528,Greed,High Activity,High Volatility,High Volatility,High Volatility
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,-1954.3113580000002,3076,7639.724411573472,0.21879063719115735,0.0,4561.206114,Extreme Greed,High Activity,High Volatility,High Volatility,High Volatility
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,59632.34949589,1643,2875.2178940961658,0.20998174071819842,0.0,2953.83210411,Neutral,High Activity,High Volatility,High Volatility,High Volatility
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1420943.704503,1268,2166.171861198738,0.5670347003154574,0.0,812.141368,Greed,High Activity,High Volatility,High Volatility,High Volatility
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,549110.35144429,7380,1818.587241192412,0.3910569105691057,0.0,4707.64902071,Fear,High Activity,High Volatility,High Volatility,High Volatility
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,-6154.672893999999,4838,22504.555828854896,0.4386109962794543,0.0,28643.173715,Fear,High Activity,Low Volatility,Low Volatility,Low Volatility
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,931560.511926781,21190,3210.7751864086836,0.46753185464841907,0.0,8596.700755219,Fear,High Activity,High Volatility,High Volatility,High Volatility
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,11590.452613,267,2725.7805992509366,0.15355805243445692,0.0,81.227387,Greed,Low Activity,High Volatility,High Volatility,High Volatility
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,321442.12328357,2211,8103.972912709181,0.3722297602894618,0.0,3999.85393243,Fear,Low Activity,High Volatility,High Volatility,High Volatility
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,681702.99527081,9883,2693.2837964180917,0.5692603460487706,0.0,2512.00733119,Greed,High Activity,High Volatility,High Volatility,High Volatility
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,117455.65858563,26651,1554.8373344339798,0.3848636073693295,0.0,9512.31758037,Fear,High Activity,High Volatility,High Volatility,High Volatility
